net,length_um
input_data[69],101.46µm
_01197_,101.38µm
tap[2],101.24µm
input_data[101],101.12µm
input_data[134],101.12µm
input_data[199],101.12µm
input_data[56],101.12µm
input_data[61],101.12µm
input_data[77],101.12µm
net102,101.02µm
input_data[109],101µm
input_data[150],101µm
input_data[158],101µm
input_data[172],101µm
input_data[178],101µm
input_data[186],101µm
input_data[189],101µm
input_data[190],101µm
input_data[193],101µm
input_data[70],101µm
input_data[71],101µm
input_data[72],101µm
input_data[76],101µm
input_data[96],101µm
input_data[194],100.875µm
output_high[12],100.85µm
output_high[2],100.85µm
_04400_,100.705µm
_05344_,100.675µm
input_data[162],100.66µm
input_data[168],100.66µm
input_data[169],100.66µm
input_data[201],100.66µm
input_data[202],100.66µm
input_data[42],100.66µm
input_data[49],100.66µm
input_data[57],100.66µm
_02589_,100.59µm
net309,100.58µm
input_data[130],100.54µm
input_data[159],100.54µm
input_data[175],100.54µm
input_data[58],100.54µm
output_high[10],100.51µm
output_high[11],100.51µm
output_high[13],100.51µm
output_high[3],100.51µm
output_high[5],100.51µm
output_high[6],100.51µm
output_high[7],100.51µm
output_high[8],100.51µm
output_high[9],100.51µm
input_data[100],100.2µm
input_data[108],100.2µm
input_data[113],100.2µm
input_data[115],100.2µm
input_data[120],100.2µm
input_data[124],100.2µm
input_data[129],100.2µm
input_data[132],100.2µm
input_data[133],100.2µm
input_data[144],100.2µm
input_data[145],100.2µm
input_data[149],100.2µm
input_data[151],100.2µm
input_data[192],100.2µm
input_data[40],100.2µm
input_data[43],100.2µm
input_data[105],100.08µm
input_data[117],100.08µm
input_data[118],100.08µm
input_data[119],100.08µm
input_data[125],100.08µm
input_data[126],100.08µm
input_data[131],100.08µm
input_data[177],100.08µm
input_data[44],100.08µm
input_data[59],100.08µm
input_data[91],100.08µm
input_data[99],100.08µm
input_data[68],99.74µm
input_data[83],99.74µm
input_data[106],99.62µm
input_data[107],99.62µm
input_data[116],99.62µm
input_data[121],99.62µm
input_data[123],99.62µm
input_data[176],99.62µm
input_data[64],99.62µm
input_data[65],99.62µm
input_data[67],99.62µm
input_data[73],99.62µm
input_data[97],99.62µm
input_data[98],99.62µm
_02604_,99.48µm
_01550_,99.46µm
_03307_,99.46µm
_09359_,99.36µm
_03104_,99.32µm
input_data[160],99.28µm
input_data[87],99.28µm
_00213_,99.08µm
output_high[4],99.03µm
_04299_,98.96µm
_04115_,98.505µm
_06808_,98.48µm
tap[1],98.48µm
_04244_,98.36µm
_02654_,98.24µm
net354,98.22µm
_06325_,98.03µm
_09333_,97.92µm
net477,97.78µm
_06187_,97.405µm
_01258_,97.34µm
_00904_,97.24µm
_02258_,97.18µm
_10063_,97.08µm
net304,97.02µm
_10644_,96.94µm
net335,96.845µm
_03086_,96.84µm
_01477_,96.36µm
_08089_,96.16µm
net332,96.06µm
_02795_,95.84µm
net472,95.6µm
_06171_,95.585µm
_04398_,95.56µm
_04228_,95.42µm
_00691_,95.32µm
net469,95.3µm
net474,95.1µm
net181,95.06µm
_05691_,95.04µm
net379,94.78µm
_07253_,94.635µm
_06197_,94.26µm
net480,94.26µm
net28,94.095µm
net190,94µm
_06239_,93.82µm
net561,93.8µm
_07357_,93.74µm
_01502_,93.59µm
net473,93.3µm
_03397_,92.96µm
_02799_,92.94µm
_03923_,92.8µm
_04245_,92.79µm
_04989_,92.7µm
_04233_,92.595µm
_04262_,92.58µm
_01589_,92.355µm
_03281_,92.34µm
_07535_,92.19µm
_00994_,92.08µm
net441,92.07µm
_04293_,92.06µm
_02923_,91.92µm
net257,91.8µm
_04614_,91.6µm
net216,91.42µm
_05827_,91.4µm
net403,91.38µm
_02788_,91.075µm
_03369_,91.02µm
net319,90.92µm
_09454_,90.88µm
_03111_,90.41µm
_00892_,90.3µm
_01802_,90.24µm
_01470_,90.04µm
_01795_,89.9µm
net399,89.9µm
_01793_,89.69µm
_02789_,89.55µm
_09787_,89.43µm
_03417_,89.22µm
_01559_,89.18µm
net419,89.1µm
_02289_,89µm
_10860_,88.99µm
_00817_,88.88µm
_09604_,88.72µm
_03721_,88.45µm
_02938_,88.32µm
_03774_,88.24µm
_03301_,88.2µm
_04126_,88.1µm
_03983_,87.88µm
_09524_,87.51µm
net277,87.5µm
_01740_,87.1µm
_05138_,87.1µm
_04289_,87.08µm
_01529_,86.93µm
_07888_,86.86µm
net281,86.82µm
_04478_,86.65µm
_05715_,86.52µm
_01728_,86.42µm
_04381_,86.41µm
_07966_,86.41µm
_03408_,86.315µm
_03488_,86.24µm
net557,86.22µm
net192,86.2µm
net21,86.14µm
_06856_,86.02µm
net280,85.75µm
_03629_,85.665µm
_01819_,85.44µm
_00059_,85.35µm
_10372_,85.34µm
net432,85.255µm
_04234_,85.16µm
net330,84.82µm
_00397_,84.78µm
_10902_,84.66µm
_04879_,84.64µm
_04623_,84.55µm
_03468_,84.52µm
_08234_,84.52µm
_05357_,84.51µm
_04276_,84.39µm
_06225_,84.38µm
_06401_,84.38µm
_05315_,84.22µm
_01709_,84.01µm
_04256_,83.88µm
_02618_,83.84µm
_04549_,83.67µm
_03649_,83.48µm
_02025_,83.38µm
_03711_,83.36µm
_01488_,83.24µm
_10553_,83.06µm
_00952_,83.04µm
_03400_,82.79µm
_01890_,82.76µm
_04281_,82.6µm
_04710_,82.56µm
_01106_,82.46µm
_06529_,82.21µm
_02656_,82.2µm
_04665_,82.1µm
_00728_,81.86µm
_00206_,81.855µm
_05073_,81.8µm
net279,81.8µm
_04379_,81.62µm
_04521_,81.58µm
net491,81.58µm
net289,81.56µm
_03781_,81.52µm
_02117_,81.48µm
_10615_,81.48µm
_05137_,81.28µm
_03567_,81.24µm
_03048_,81.23µm
_03458_,81.18µm
_07702_,81.07µm
_02255_,81.05µm
_03244_,80.96µm
_02269_,80.92µm
_03399_,80.78µm
_04876_,80.7µm
_06320_,80.64µm
_07360_,80.34µm
_02034_,80.24µm
_01051_,80.12µm
_02964_,80.02µm
_04380_,79.86µm
_07170_,79.79µm
_08684_,79.74µm
_10647_,79.72µm
net320,79.62µm
_03312_,79.45µm
_02613_,79.38µm
_05296_,79.34µm
_10234_,79.26µm
_02495_,79.16µm
_08781_,79.14µm
_06805_,79.04µm
_09293_,79.04µm
_06703_,79µm
_02192_,78.74µm
_02630_,78.48µm
_02437_,78.36µm
_06530_,78.3µm
net496,78.14µm
_07524_,78.08µm
_04774_,77.96µm
_02417_,77.84µm
_03389_,77.68µm
_01285_,77.64µm
_03168_,77.56µm
_10033_,77.36µm
_09089_,77.22µm
_10580_,77.2µm
_06587_,77.155µm
_06422_,77.14µm
_05284_,77.04µm
_07350_,76.8µm
_04469_,76.72µm
_03366_,76.54µm
_08110_,76.24µm
_01360_,75.94µm
net10,75.915µm
_04787_,75.91µm
_03807_,75.83µm
